PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,ALL_STAR
243,Aaron McKie,PHI,32.0,68,35,33,0.515,16.6,0.9,2.1,0.43,0.3,0.9,0.323,0.1,0.2,0.625,0.3,2.2,2.5,1.5,0.5,0.7,0.3,0.2,1.7,0.0,2.2,0.2,0
1425,Aaron Williams,TOR,33.0,42,13,29,0.31,7.4,0.7,1.5,0.46,0.0,0.0,0.0,0.4,0.4,0.882,0.4,1.0,1.4,0.2,0.4,0.1,0.2,0.2,1.7,0.0,1.7,-3.2,0
1502,Adonal Foyle,GSW,30.0,78,31,47,0.397,21.8,2.0,4.0,0.502,0.0,0.0,0.0,0.5,0.9,0.556,2.1,3.4,5.5,0.7,0.7,0.3,2.0,0.3,2.6,0.0,4.5,-0.3,0
1559,Adrian Griffin,CHI,30.0,69,38,31,0.551,9.5,0.8,2.3,0.36,0.0,0.1,0.222,0.5,0.6,0.75,0.8,1.4,2.1,0.8,0.4,0.6,0.1,0.1,1.1,0.0,2.2,0.6,0
1733,Al Harrington,ATL,25.0,66,10,56,0.152,38.6,6.9,14.9,0.459,0.2,1.1,0.216,3.6,5.3,0.672,2.2,4.8,7.0,3.2,3.1,1.3,0.2,1.1,3.8,0.0,17.5,-7.8,0
2744,Al Jefferson,BOS,20.0,71,39,32,0.549,14.7,2.7,5.2,0.528,0.0,0.0,0.0,1.2,1.9,0.63,1.7,2.7,4.4,0.3,0.9,0.3,0.8,0.5,2.7,0.0,6.7,-0.6,0
673,Alan Henderson,DAL,32.0,78,55,23,0.705,15.3,1.5,2.8,0.527,0.0,0.0,0.0,0.5,1.0,0.539,2.1,2.4,4.5,0.3,0.6,0.4,0.5,0.4,1.9,0.0,3.5,-2.1,0
1893,Aleksandar Radojevic,UTA,28.0,12,1,11,0.083,10.7,0.5,1.6,0.316,0.0,0.0,0.0,0.6,0.8,0.7,0.8,1.6,2.3,0.5,1.3,0.0,0.2,0.4,2.7,0.0,1.6,-1.2,0
2682,Alex Garcia,NOH,25.0,8,0,8,0.0,18.2,2.3,6.5,0.346,0.6,2.3,0.278,0.4,0.5,0.75,0.9,1.0,1.9,2.3,1.0,0.5,0.1,0.4,1.9,0.0,5.5,-4.6,0
275,Allan Houston,NYK,34.0,20,8,12,0.4,26.7,4.3,10.3,0.415,1.6,4.0,0.388,1.8,2.2,0.837,0.2,1.0,1.2,2.1,1.1,0.4,0.1,0.3,2.0,0.0,11.9,1.2,0
947,Allen Iverson,PHI,30.0,75,41,34,0.547,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.7,10.5,0.835,0.7,3.3,4.0,7.9,4.6,2.4,0.1,1.3,1.9,0.0,30.7,0.2,1
297,Alonzo Mourning,MIA,35.0,37,17,20,0.459,19.0,2.7,5.7,0.472,0.0,0.0,0.0,2.2,3.8,0.582,1.4,3.9,5.4,0.5,1.5,0.2,2.0,0.5,2.2,0.0,7.6,-1.2,0
2405,Amar'e Stoudemire,PHX,22.0,80,60,20,0.75,36.1,9.3,16.7,0.559,0.0,0.2,0.188,7.3,9.9,0.733,2.7,6.2,8.9,1.6,2.4,1.0,1.6,1.2,3.5,0.0,26.0,7.6,1
2760,Anderson Varejao,CLE,22.0,54,27,27,0.5,16.1,1.8,3.6,0.513,0.0,0.0,0.0,1.3,2.4,0.535,2.0,2.7,4.8,0.5,0.5,0.8,0.7,0.4,2.3,0.0,4.9,1.6,0
2857,Andre Barrett,ORL,23.0,38,17,21,0.447,12.6,1.2,3.3,0.363,0.4,1.4,0.269,0.4,0.5,0.737,0.3,0.8,1.1,1.8,0.7,0.5,0.0,0.2,1.3,0.0,3.1,0.7,0
2765,Andre Emmett,MEM,22.0,8,5,3,0.625,3.2,0.3,0.8,0.333,0.0,0.0,0.0,0.4,0.6,0.6,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.4,0.5,0.0,0.9,-0.9,0
2738,Andre Iguodala,PHI,21.0,82,43,39,0.524,32.7,3.3,6.7,0.493,0.6,1.7,0.331,1.9,2.6,0.743,1.1,4.6,5.7,3.0,1.7,1.7,0.6,0.3,2.5,0.0,9.0,-0.2,0
1889,Andre Miller,DEN,29.0,82,49,33,0.598,34.7,5.2,10.9,0.477,0.1,0.5,0.154,3.1,3.7,0.838,1.2,2.9,4.1,6.9,2.7,1.5,0.1,0.9,2.5,0.0,13.6,2.1,0
1905,Andrei Kirilenko,UTA,24.0,41,15,26,0.366,33.0,5.0,10.2,0.493,0.6,1.9,0.299,5.0,6.3,0.784,2.2,4.0,6.2,3.2,2.2,1.6,3.3,0.7,2.5,0.0,15.6,2.2,0
2804,Andres Nocioni,CHI,25.0,81,47,34,0.58,23.4,3.0,7.4,0.401,0.3,1.2,0.258,2.1,2.7,0.766,0.9,3.9,4.8,1.5,1.7,0.5,0.4,0.5,2.6,0.0,8.4,-2.2,0
692,Andrew DeClercq,ORL,32.0,8,4,4,0.5,6.3,0.5,1.1,0.444,0.0,0.0,0.0,0.1,0.4,0.333,0.9,0.4,1.3,0.0,0.1,0.3,0.0,0.3,1.8,0.0,1.1,-2.0,0
2740,Andris Biedrins,GSW,19.0,30,17,13,0.567,12.7,1.5,2.6,0.577,0.0,0.0,0.0,0.6,1.3,0.475,1.6,2.4,3.9,0.4,0.4,0.4,0.8,0.5,2.9,0.0,3.6,1.5,0
358,Anfernee Hardaway,NYK,33.0,37,17,20,0.459,24.2,3.0,7.0,0.423,0.4,1.4,0.3,0.9,1.2,0.739,0.5,1.9,2.4,2.0,1.4,0.8,0.1,0.3,2.1,0.0,7.3,-2.3,0
1738,Ansu Sesay,GSW,28.0,16,5,11,0.313,8.0,1.1,2.6,0.405,0.1,0.5,0.25,0.8,1.5,0.542,1.1,1.3,2.4,0.8,0.5,0.1,0.2,0.4,1.0,0.0,3.1,-1.1,0
1712,Antawn Jamison,WAS,29.0,68,38,30,0.559,38.4,7.6,17.5,0.437,1.0,3.1,0.341,3.3,4.4,0.76,2.4,5.3,7.6,2.3,1.7,0.8,0.2,0.6,2.2,0.0,19.6,1.8,1
1853,Anthony Carter,MIN,30.0,66,36,30,0.545,10.8,1.1,2.7,0.407,0.0,0.3,0.118,0.5,0.8,0.686,0.2,0.9,1.0,2.4,0.9,0.5,0.3,0.1,1.3,0.0,2.7,0.0,0
924,Anthony Goldwire,MIL,33.0,33,10,23,0.303,16.1,1.7,4.1,0.419,1.0,2.4,0.4,0.8,0.9,0.839,0.3,1.5,1.8,2.4,0.5,0.5,0.0,0.1,1.0,0.0,5.2,-2.2,0
1533,Anthony Johnson,IND,30.0,63,34,29,0.54,27.9,3.2,7.2,0.445,0.7,1.7,0.38,1.3,1.8,0.752,0.5,2.3,2.8,4.8,1.5,0.9,0.2,0.4,2.3,0.0,8.4,0.4,0
292,Anthony Miller,ATL,33.0,2,0,2,0.0,4.9,1.0,1.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,2.0,1.0,0
324,Anthony Peeler,WAS,35.0,40,19,21,0.475,13.2,1.4,3.8,0.373,0.6,1.6,0.385,0.4,0.5,0.889,0.4,1.3,1.6,1.4,0.7,0.5,0.1,0.2,1.0,0.0,3.8,-2.6,0
952,Antoine Walker,BOS,28.0,77,26,51,0.338,38.5,7.5,17.9,0.422,1.4,4.4,0.323,2.6,4.8,0.539,2.4,6.7,9.0,3.4,3.3,1.2,0.8,1.4,2.8,0.0,19.1,-6.8,0
2766,Antonio Burks,MEM,25.0,24,10,14,0.417,9.1,1.2,2.5,0.467,0.1,0.5,0.273,0.6,0.8,0.737,0.0,0.5,0.5,1.2,0.5,0.5,0.0,0.3,1.0,0.0,3.0,-1.4,0
1498,Antonio Daniels,SEA,30.0,75,50,25,0.667,27.0,3.6,8.3,0.438,0.7,2.2,0.297,3.3,4.1,0.816,0.3,2.0,2.3,4.1,1.0,0.7,0.0,0.4,1.0,0.0,11.2,2.7,0
213,Antonio Davis,CHI,36.0,72,41,31,0.569,25.6,2.7,5.8,0.461,0.0,0.0,0.0,1.6,2.1,0.757,2.1,3.8,5.9,1.1,1.3,0.4,0.6,0.4,2.0,0.0,7.0,0.1,0
